,AU,AT,BE,CA,DK,FI,FR,DE,GR,IE,IT,JP,KR,LU,NL,NZ,NO,PT,ES,SE,CH,GB,US,Total
GH,4,3.31,14.29,70.72,71.7,0.9,36.67,99.32,0.08,0.6,16.25,45.94,5.06,0.17,63.14,0.4,8.05,0,5.2,0.07,17.05,130.46,307.9,901.28
GD,0.02,1.09,0,0.11,0,0.03,-0.47,0.03,0,0,0,8.49,0.01,0,0,0,0,0,0,0,0,0,0.02,9.33
GT,6.4,0.85,4.52,10.59,2.71,2.74,3.22,18.17,0,2.04,4.87,15.23,4.88,0.58,18.57,0.15,11.06,0,45.92,30.54,3.77,0.09,102.05,288.95
GN,0.19,0.2,1.47,2.55,0.1,0.02,36.42,13.92,0.01,0.35,0.14,1.98,0.25,0.6,0.09,0,0,0.13,2.59,1.13,2.76,0.28,17.31,82.49
GW,0,0.38,0.79,0.84,0,0.83,14.39,1.31,0.01,0,0.78,9.78,0.12,0.42,0,0,0,13.67,6.35,0.03,0.84,0.07,1.73,52.34
GY,0.02,0.98,0.08,4.03,0,0.13,0,5.82,0,0,0,0.85,0,0,0,0,39.07,0,0.04,0,0,0.59,18.81,70.42
HT,0.59,2.61,13.12,241.75,-0.02,8.24,53.52,27.91,0.01,4.23,2.78,22.24,0.97,2.35,13.87,0,24.12,0.47,92.57,19.15,17.38,15.57,620.18,1183.61
HN,0.44,0,2.7,34.58,3.04,8.54,1.72,14.34,0,1.68,2.67,10.76,4.75,0.18,0.09,0.03,1.53,0,15,1.41,9.91,0.02,47.46,160.85
IN,1.99,24.33,5.37,10.78,4.24,1.36,75.97,496.9,0.21,4.76,12.47,796.37,1.13,3.09,0.97,0.88,29.35,0.46,7.83,12.2,11.1,453.85,79.98,2035.59
ID,0.6,447.46,-5.04,13.65,22.53,2.73,-42.5,74.72,0.03,0,-13.4,-633.71,24.29,0.6,24.58,15.28,11.91,0.41,-16.06,6.2,11.11,-6.82,185.34,123.91
IR,6.21,0.38,0,0.52,0.56,0.03,14.87,54.3,0.77,0,0.1,-15.37,0.36,0,0,0,2.35,0.01,0.3,0.96,0.26,0.43,1.31,68.35
IQ,0.89,37.18,0.35,2.69,8.11,2.01,9.4,29.49,0.55,0.34,6.67,370.21,5.29,0.46,3.39,0,8.13,0,0.31,35.38,4.2,13.38,1264.03,1802.46
JM,0.1,1.37,3.75,5.16,0,0.08,-0.02,-5.39,0,0,-0.29,-22.63,0.03,0,-0.66,0.07,0,0,0.25,0,0,10.33,0.95,-6.9
JO,0.15,0.69,0.2,7.09,4.06,0.31,21.18,35.59,1.96,0.1,4.62,-103.86,29.32,0,1.2,0,3.18,0,7.08,1.73,4.96,2.65,448.96,471.17
KZ,0.54,0,0.16,0.04,-0.02,0.41,3.32,5.88,0.26,0.02,0.03,-21.51,2.02,0.05,0.26,0,2.93,0,-2.06,0.09,0.12,2.73,36.44,31.71
KE,2.74,15.28,20.66,41.6,71.27,21.82,92.78,156.56,0.32,11.42,27.54,79.74,9.29,0.54,34.82,1.47,19.74,0,10.27,76.85,11.26,142.02,715.42,1563.41
KI,0,40.98,0,0.72,0,0,0,0.05,0,0,0,3.84,0.64,0,0,12.9,0,0,0,0,0,0.03,0,59.16
KP,0.03,6.71,0.34,2.53,0.14,1.72,1.49,2.52,0.14,0.35,0.43,0,0,0.7,0.1,0,3.57,0,0,7.5,9.46,0.61,2.04,40.38
KR,12.74,0,0.11,0,5.12,2.36,1.12,34.18,0.03,0,3.05,1.88,0,6.89,1.58,0,19.07,0.42,0.73,22.96,59.54,12.19,92.27,276.24
KG,1.16,0,0.14,0.39,1.36,1.53,0.8,32.87,0.08,0.08,0.01,29.9,1.21,0.02,0.04,0,3.34,0.01,0.08,2.62,23.11,11.9,65.03,175.68
LA,1.6,53.93,2.74,2.69,0.57,9.65,16.84,24.32,0,0.7,0.32,48.51,33.48,16.53,0,2.45,9.43,0,0,2.64,24.58,1.61,11.67,264.26
LB,0.17,0.95,1.57,2.8,0.69,0.73,55.3,29.16,0.98,1.89,19.06,6.69,1.58,1.1,0.94,0.69,12.2,0,24.75,3.45,6.71,2.64,86.66,260.71
LS,0,1.34,0.01,1.39,0.12,0.06,-1.52,3.86,0,15.85,0,20.23,0.18,0.28,0,0,1.03,0,0,0.07,0.52,1.85,97.04,142.31
LR,0.42,3.03,47.41,7.78,11.7,1.99,1.31,110,0.01,10.38,0.19,44.55,0.1,0.3,1.39,0,35.11,0,0.84,49.84,11.53,31.51,153.14,522.53
LY,2.03,40.95,4.52,4.33,3,2.29,14.3,15.25,1.53,1.56,6.99,8.18,2.3,0,4.09,0.79,14.51,0,9.83,14.56,5.15,16.87,290.25,463.28
MK,2.25,0.01,0.08,0,0.01,0.16,3.18,23.25,0.57,0.01,0,3.75,0,0,1.56,0,7.02,0.02,0.05,3.57,7.65,0.99,19.82,73.95
MG,0.5,0.78,1.87,1.94,0.06,0.39,89.25,20.26,0.08,0.11,4.82,10.7,7.61,0.62,0,0,12.76,0,0.16,1.64,6.75,0.81,66.41,227.52
MW,0.05,6.81,8.29,12.46,7.24,1.97,0.15,26.31,0.02,24.66,1.54,28.64,1.2,0.11,0.03,0.15,66.85,0,0.7,1.84,0.2,104.06,154.55,447.83
MY,0.15,3.54,0,-0.03,0.24,0.2,1.97,10.8,0,0.01,0.07,-21.01,1.85,0,0.01,0,0.84,0.06,0.24,1.36,0.01,7.16,10.39,17.86
MV,0,4.13,0,0.55,9.39,0.25,0.63,0.28,0.02,0,0,4.55,0.48,0,0,0.48,0.06,0,0,0,0,0.27,0,21.09
ML,0.9,0.9,19.58,116.17,31.79,1.17,73.45,36.49,0,0,1.77,44.06,12.93,24.65,59.44,0,13.3,0,20.78,33.18,25.79,0.01,265.36,781.72
MR,0,0.08,0.37,0.55,0,0.24,57.15,9.3,0.02,0.25,2.22,9.99,0.1,0,0,0,0.64,0,35.14,1.41,0.23,1.45,11.62,130.76
MU,0.01,1,0,0,0,0,100.53,-0.17,0,0,0,-2.44,0.04,0.12,0,0.01,0.71,0,0.03,0,0,13.54,0.16,113.54
MX,2.19,1.33,0.65,2.29,0,0.84,430.92,91.25,0.12,0.09,0.98,-51.99,0.53,0,0.11,0.12,8.19,0.09,-21.75,0,0.58,5.76,374.89,847.19
FM,0,2.05,0,0,0,0,0,0.04,0,0,0,28.39,0.03,0,0,0.05,0,0,0,0,0.03,0,98.42,129.01
MD,3.05,0,0.01,0,1.8,1.25,6.97,8.58,1.7,0.1,0.37,8.1,0.26,0.27,4,0,6.16,0.01,0.04,18.26,9.13,2.43,28.67,101.16
MN,1.24,7.42,0.01,0.93,2.78,3.06,5.16,34.72,0.01,0,0.12,75.63,30.5,2.85,6.26,0.56,1.6,0,0,0.09,15.2,0.18,58.59,246.91
ME,1.16,0.01,0.09,0.14,0.8,0.03,0.54,4.08,0.16,0,0.29,4.67,0,2.83,1.62,0,2.85,0,0.01,0.35,0.01,0.33,6.45,26.42
MA,0.18,0.16,28.79,2.91,2.16,0.52,523.85,56.09,0.16,0,15.67,30.11,7.51,0,1.61,0,0.09,0.28,36.83,0,4.62,4.38,125.71,841.63
MZ,9.82,6.73,33.47,129.81,113.25,34.63,11,91.94,0.02,58.78,23.4,48.49,6.48,0.11,73,0,84.14,219.19,41.28,108.81,30.91,186.4,387.01,1698.67
MM,0.05,44.43,0.84,4.13,11.07,0.5,3.34,10.73,0,0.49,3.22,42.5,6.73,0.19,2.95,1.27,19.9,0,0,18.82,11.37,62.2,29.04,273.77
NA,0.07,1.2,0.8,1.33,0,4.6,-2.49,68.7,0.02,0,0.54,25.21,0.06,6.97,1.81,0,2.33,0.11,4.31,4.86,0.67,-0.72,112.94,233.32
NP,2.44,28.45,0.43,11.85,33.17,26.09,-3.35,40.42,0.1,0.89,0.39,63.47,20.97,1.02,0.3,1.62,49.4,0,0.22,1.84,40.38,104.07,65.45,489.62
NI,9.39,0.05,3.97,17.83,35,15.72,1.37,21.81,0,1.64,1.47,19.8,3.95,12.15,20.61,0.06,18.21,0,64.61,3.06,22.26,0.03,59.74,332.73
NE,0.22,3.75,23.59,11.2,8.79,1.67,47.28,29.86,0.05,2.42,0.52,15.86,0.59,6.87,0.13,0,1.82,0,27.84,7.69,19.22,0.59,92.42,302.38
NG,0.91,3.31,0.04,28.2,0.42,1.28,10.56,21.78,1.45,1.91,1.23,38.57,2.21,0,21.49,0,11.83,0.11,0.2,0.19,1.91,298.86,409.23,855.69
PK,2.3,74.49,14.18,87.49,17.83,10.55,15.03,125.66,0.21,2.01,26.78,528.47,11.74,1.89,30.69,1.18,32.83,0,5.74,21.59,18.79,331.59,1273.85,2634.89
PA,0.02,0.01,0.01,1.74,-0.57,0.03,0.52,1.47,0.05,0,0.01,62.9,-0.08,0,0.13,0,6.93,0,2.54,-0.01,0,0.2,15.45,91.35
PG,0.63,510.9,0.01,1.09,0,0.09,0.11,1.59,0,0,0.29,11.34,0.68,0,0,25.73,1.75,0,0,0,0,-0.32,3.57,557.46
PY,0.03,1.67,0.02,1.51,0,0.07,0.42,4.1,0,0.09,0.34,-23.92,5.71,0.14,0,0.03,1.27,0,16.34,1.1,0.32,0.05,33.38,42.67
PE,0.92,0.73,16.83,22.22,0.62,3.55,10.98,217,0.08,0.45,10.83,75.27,6.79,1.16,0.99,0.1,3.56,0.02,61.16,1.44,21.62,0.6,125.53,582.45
PH,0.52,114.38,4.9,11.88,1.98,3.68,-10.38,10.17,0.08,0.58,1.7,-566.89,35.69,1.35,0.27,4.8,11.13,0,19.8,4.66,1.23,2.07,116.65,-229.75
RW,0.66,2.08,76.52,11.85,2.55,0.15,5.3,47.35,0.02,2.29,1.01,24.28,5.82,5.52,47.46,0,3.39,0.66,1.73,33.25,4.21,135.57,193.07,604.74
WS,0,29.02,0,0.52,0,0,0.22,0.51,0,0,0,17.39,0.16,0,0,11.71,0,0,0,0.03,0,0.41,1.42,61.39
ST,0.01,0.13,0,0.5,0,0,2.22,0.08,0.04,0,0.06,3.54,0.01,0,0,0,0,29.13,1.59,0,0,0,0.61,37.92
SN,1.16,1.05,23.98,61.83,0.14,1.04,177.32,25.44,0.01,0.05,7.28,82.83,8.71,13.95,26.88,0,0.31,0.38,36.84,2.04,2.44,1.99,114.03,589.7
RS,10.37,0.01,1.2,0.64,2.24,8.42,11.27,71.46,13.31,0,18.63,9.17,0.2,1.27,1.32,0,19.83,0.14,-2.38,22.99,15.46,2.43,42.18,250.16
SC,0,0.88,0,0,-0.29,0,2.39,0.58,0.02,0,0,1.24,0.02,0,0,0.05,0,0,1.66,0,0,0.07,0.02,6.64
SL,0.03,1.44,0.01,6.69,3.76,3.67,0.43,16.7,0.19,12.67,1.17,26.53,0.21,0.15,0.21,0,3.52,0.02,0.72,0.8,0.53,73.56,27.06,180.07
SB,0,252.02,0,0.41,0,0.08,0.54,0,0,0.16,0,24.11,0.3,0,0,21.16,0.01,0,0,0,0,0.19,0.25,299.23
SO,1.54,63.08,7.46,24.05,37.11,10.41,2.93,34.01,0.01,11.22,18.58,51.97,0.1,1.39,27.89,2.55,84.2,0,16.05,63.51,22.42,152.14,121.46,754.08
ZA,0.92,5.03,17.19,11.77,10.9,5.88,143.92,105.29,0.75,8.67,9.03,8.11,0.56,0.38,32.54,0.57,38.17,0.07,0.36,15.57,7.8,46.61,564.03,1034.12
SS,0.2,2.65,6.82,48.95,35.76,2.36,0.26,17.37,0,6.53,0.18,25.56,0.03,0,24.4,0.79,60.27,0,0,10.01,7.93,83,707.42,1040.49
LK,1.14,58.22,0.73,11.72,1.29,2.92,11.54,1.89,0.01,0.18,2.16,168.05,43.36,0.41,1.32,1.11,25.79,0,-0.61,12.95,10.78,4.22,24.71,383.89
LC,0.02,2,0,0.09,0,0,-1.98,0.03,0,0,0,2.02,0.01,0,0,0.07,0,0,0.02,0,0,0.37,0,2.65
SD,0.37,31.13,7.83,52.34,7.59,9.65,8.48,29.6,0.93,6.53,17.82,96.72,0.89,3.08,45.38,0,46.96,0.01,31.79,86.79,15.13,157.34,16.45,672.81
SR,0,0.89,2.21,1.2,0,0.02,14.17,0.04,0,0,0,0.03,0.01,0,47.67,0,0,0,0,0,0,0,0.97,67.21
SZ,0,1.45,0,1.61,0.51,0.37,0.21,0.71,0,0,0.35,12.55,0.17,0.42,0,0.19,1.79,0,0,0.04,0.23,0.03,46.29,66.92
SY,0.47,5.21,0.02,1.01,2.43,1.21,22.2,45.38,2.76,0.09,-1.02,-34.27,0.02,0,0.04,0,1.18,0,3.81,4.52,4.07,2.03,16.06,77.22
TJ,0.12,0.13,0,0.67,2.56,0.86,0.19,39.69,0.01,0,0.27,35.28,0.74,0.57,0.6,0,5.26,0,0.07,0.24,14.53,16.5,34.1,152.39
TZ,1.52,13.58,25.68,94.68,126.16,54.54,19.96,93.51,0.03,49.45,6.72,119.44,20.94,0.02,66.82,0.72,114.26,0,5.45,125.15,28.94,158.92,535.18,1661.67
