Period,Itotal,Ifoods,Iindustrial,Icapital_goods,Ivehicles,Iconsumer_goods,Iother,Etotal,Efoods,Eindustrial,Ecapital_goods,Evehicles,Econsumer_goods,Eother
MAY,183767.00,7538.00,68767.00,39555.00,20810.00,41279.00,5818.00,110828.00,9528.00,34336.00,38618.00,10434.00,13530.00,4382.00
JUN,186963.00,7440.00,73155.00,38755.00,20415.00,41377.00,5821.00,115784.00,10013.00,36738.00,39666.00,11015.00,14054.00,4299.00
JUL,194334.00,7521.00,80669.00,38895.00,20115.00,41012.00,6124.00,118309.00,10146.00,37941.00,39828.00,11686.00,14534.00,4175.00
AUG,186261.00,7756.00,73990.00,37999.00,18790.00,41874.00,5852.00,116219.00,9768.00,36899.00,40651.00,10537.00,13909.00,4455.00
SEP,175833.00,7593.00,65723.00,38495.00,17890.00,40395.00,5736.00,107172.00,8923.00,32509.00,37833.00,10352.00,13498.00,4057.00
OCT,174067.00,7634.00,66559.00,37252.00,17085.00,39888.00,5649.00,105006.00,8474.00,31514.00,37506.00,10044.00,13287.00,4180.00
NOV,150372.00,7411.00,48973.00,34897.00,16316.00,37130.00,5646.00,97819.00,7756.00,27492.00,36105.00,9080.00,13101.00,4285.00
DEC,139234.00,7082.00,42566.00,33502.00,14453.00,36371.00,5260.00,87992.00,6929.00,22743.00,34432.00,7598.00,12373.00,3918.00
2007,1956962.00,81683.00,634746.00,444508.00,256666.00,474552.00,64806.00,1148199.00,84264.00,316377.00,433019.00,121264.00,145975.00,47300.00
JAN,156000.00,6602.00,48405.00,36132.00,21001.00,38715.00,5146.00,90847.00,6187.00,23920.00,35738.00,9236.00,11764.00,4002.00
FEB,155097.00,6625.00,45492.00,36677.00,20688.00,40260.00,5355.00,88931.00,6290.00,23911.00,34141.00,9322.00,11526.00,3740.00
MAR,161806.00,6860.00,50396.00,36646.00,21596.00,40991.00,5318.00,92877.00,6139.00,25216.00,35232.00,10155.00,12032.00,4102.00
APR,159655.00,6678.00,50803.00,36299.00,21261.00,39434.00,5179.00,92573.00,6396.00,25701.00,34395.00,10055.00,12085.00,3942.00
MAY,161050.00,6686.00,52513.00,36641.00,21046.00,38773.00,5391.00,94330.00,6382.00,26004.00,35879.00,10215.00,12127.00,3722.00
JUN,163137.00,6706.00,52386.00,37448.00,21661.00,39523.00,5412.00,95344.00,6499.00,27005.00,35812.00,10306.00,11808.00,3914.00
JUL,163679.00,6835.00,52973.00,37166.00,22440.00,38923.00,5341.00,95773.00,6676.00,26193.00,36522.00,10416.00,12118.00,3848.00
AUG,163444.00,6907.00,53079.00,37222.00,21893.00,38885.00,5457.00,97552.00,7269.00,27085.00,36772.00,10231.00,12344.00,3851.00
SEP,164883.00,6937.00,53659.00,37841.00,21668.00,39349.00,5428.00,98065.00,8028.00,26999.00,36585.00,10366.00,12524.00,3563.00
OCT,166868.00,6854.00,55491.00,37551.00,21729.00,39725.00,5520.00,99509.00,7919.00,27445.00,37075.00,10445.00,12391.00,4236.00
NOV,171602.00,7125.00,59231.00,37586.00,21681.00,40236.00,5743.00,100798.00,8235.00,28068.00,37069.00,10631.00,12381.00,4414.00
DEC,169741.00,6868.00,60318.00,37299.00,20002.00,39737.00,5517.00,101598.00,8244.00,28830.00,37798.00,9887.00,12875.00,3964.00
2006,1853938.00,74938.00,601988.00,418259.00,256627.00,442639.00,59487.00,1025967.00,65962.00,276045.00,404026.00,107263.00,129081.00,43589.00
JAN,152919.00,6167.00,50616.00,33896.00,22137.00,35148.00,4955.00,80555.00,5182.00,20974.00,31994.00,8964.00,10150.00,3291.00
FEB,148596.00,5938.00,48921.00,32904.00,21170.00,34834.00,4829.00,81535.00,5020.00,21048.00,32762.00,8986.00,10278.00,3441.00
MAR,150759.00,6298.00,47264.00,34714.00,20851.00,36773.00,4859.00,83299.00,5269.00,22437.00,33137.00,8726.00,10553.00,3177.00
APR,151278.00,6182.00,48951.00,34419.00,21218.00,35712.00,4797.00,83188.00,5167.00,22520.00,33322.00,8719.00,10275.00,3186.00
MAY,154996.00,6041.00,52507.00,34548.00,21129.00,35943.00,4828.00,84593.00,5421.00,23131.00,33372.00,8664.00,10691.00,3314.00
JUN,155279.00,6053.00,51043.00,34550.00,21774.00,36897.00,4962.00,86432.00,5526.00,23494.00,34102.00,9010.00,10794.00,3504.00
JUL,156232.00,6146.00,52719.00,35123.00,20666.00,36697.00,4881.00,84328.00,5478.00,22825.00,32981.00,8820.00,10721.00,3503.00
AUG,159838.00,6354.00,54719.00,35525.00,21136.00,37171.00,4934.00,86715.00,5788.00,23266.00,33746.00,9104.00,11014.00,3797.00
SEP,157913.00,6318.00,52448.00,35414.00,21106.00,37673.00,4954.00,87510.00,5684.00,24175.00,34220.00,8715.00,10656.00,4061.00
OCT,153411.00,6433.00,47445.00,35497.00,20985.00,37831.00,5220.00,88264.00,5814.00,24115.00,34451.00,8738.00,11163.00,3983.00
NOV,154406.00,6465.00,46882.00,35840.00,21317.00,38824.00,5077.00,89566.00,5657.00,24099.00,35052.00,9087.00,11394.00,4277.00
DEC,158312.00,6542.00,48474.00,35829.00,23140.00,39136.00,5190.00,89984.00,5957.00,23962.00,34886.00,9730.00,11394.00,4054.00
2005,1673455.00,68094.00,523771.00,379331.00,239449.00,407237.00,55572.00,901082.00,58955.00,233045.00,358426.00,98406.00,115285.00,36964.00
JAN,132065.00,5438.00,38616.00,30719.00,19573.00,33298.00,4421.00,71669.00,4675.00,18468.00,28313.00,8122.00,9164.00,2926.00
FEB,134921.00,5416.00,40052.00,30174.00,19554.00,35344.00,4380.00,72185.00,4795.00,19089.00,28294.00,7877.00,9369.00,2761.00
MAR,130902.00,5420.00,39805.00,29921.00,18803.00,32484.00,4469.00,72793.00,4860.00,19009.00,28924.00,7745.00,9364.00,2891.00
