  Period,Btotal,Bgoods,Bservices,Etotal,Egoods,Eservices,Itotal,Igoods,Iservices,
MAR,-61569,-67870,6301,118771,84620,34151,180340,152490,27850,
APR,-61949,-68551,6602,118913,84467,34447,180862,153017,27845,
MAY,-64003,-71120,7116,120868,85714,35154,184872,156834,28038,
JUN,-62798,-69534,6736,122397,87613,34784,185196,157147,28048,
JUL,-66007,-72573,6566,120109,85551,34558,186117,158125,27992,
AUG,-67351,-74130,6779,122585,87829,34756,189936,161959,27977,
SEP,-64311,-71165,6854,123678,88611,35067,187989,159776,28214,
OCT,-58139,-65810,7671,125669,89245,36423,183807,155055,28752,
NOV,-57618,-65670,8052,127347,90221,37126,184965,155890,29075,
DEC,-60749,-69113,8364,128468,90848,37620,189217,159962,29255,
2007,-696728,-818886,122158,1654561,1163957,490604,2351289,1982843,368446,
JAN,-57124,-65644,8520,129966,92068,37898,187090,157712,29378,
FEB,-58172,-66263,8090,128166,90407,37760,186339,156669,29670,
MAR,-61399,-70371,8972,133050,94017,39033,194450,164389,30061,
APR,-59818,-68432,8614,132443,93623,38820,192261,162055,30205,
MAY,-58812,-67763,8951,135046,95517,39529,193858,163279,30578,
JUN,-59097,-68470,9373,136561,96484,40077,195658,164954,30704,
JUL,-59043,-68971,9929,138018,96986,41032,197061,165957,31104,
AUG,-56109,-66883,10774,140908,98754,42154,197017,165637,31380,
SEP,-56808,-67579,10771,141752,99601,42150,198559,167180,31379,
OCT,-55600,-68099,12499,144743,101057,43686,200343,169156,31187,
NOV,-58640,-71565,12926,146427,102125,44302,205067,173691,31376,
DEC,-56105,-68846,12741,147480,103317,44164,203585,172163,31423,
2008,-698338,-830109,131770,1842682,1307499,535183,2541020,2137608,403413, 
JAN,-60040,-71456,11417,150436,106537,43899,210476,177993,32483,
FEB,-63259,-73922,10663,152571,109016,43555,215830,182938,32892,
MAR,-59236,-70706,11469,152035,107805,44230,211272,178511,32761,
APR,-62641,-74158,11516,156571,112091,44480,219212,186249,32963,
MAY,-61277,-73696,12419,158605,112860,45746,219882,186556,33326,
JUN,-59928,-72092,12164,163598,117669,45929,223526,189761,33765,
JUL,-65743,-77388,11645,165904,120056,45847,231647,197445,34202,
AUG,-60900,-71326,10426,163356,117722,45633,224256,189049,35207,
SEP,-59491,-70225,10734,153951,109131,44820,213442,179356,34086,
OCT,-59541,-69967,10425,151503,106518,44985,211044,176485,34560,
NOV,-44156,-53436,9281,142153,99002,43151,186309,152438,33871,
DEC,-42126,-51736,9610,132000,89092,42907,174126,140829,33297,
2009,-379154,-505758,126603,1578945,1069733,509212,1958099,1575491,382608, 
JAN,-37729,-47002,9272,124956,83572,41384,162685,130573,32111,
FEB,-27272,-36975,9704,127334,86044,41291,154606,123019,31587,
MAR,-28431,-38572,10141,126181,84476,41705,154612,123049,31563,
APR,-29056,-39295,10239,124322,82490,41833,153378,121785,31593,
MAY,-24855,-35362,10507,126049,84433,41616,150904,119795,31109,
