Period,Total Census Basis (1),End-Use Commodity Category ,,,,,
,,"Foods, Feeds, Beverages",Industrial Supplies (2),Capital Goods,"Automotive Vehicles, etc.",Consumer Goods,Other Goods
March,"48,969","2,382","12,498","12,382","8,605","11,475","1,626"
April,"48,573","2,263","12,634","12,481","8,647","11,099","1,449"
May,"47,942","2,298","12,417","12,357","8,364","10,850","1,657"
June,"49,189","2,332","12,766","12,964","8,410","11,151","1,567"
July,"48,112","2,254","12,234","12,862","8,056","11,198","1,508"
August,"47,901","2,299","11,812","12,551","8,381","11,441","1,417"
September,"49,083","2,410","12,175","12,759","8,771","11,461","1,507"
October,"50,820","2,525","12,551","13,454","9,048","11,654","1,588"
November,"49,939","2,334","12,313","13,138","8,932","11,560","1,660"
December,"49,534","2,334","11,503","13,881","8,792","11,324","1,700"
,,,,,,,
1992,"532,665","27,610","138,644","134,253","91,788","122,657","17,713"
January,"41,810","2,252","10,651","10,281","7,684","9,642","1,300"
February,"41,371","2,177","10,368","10,439","7,140","9,772","1,476"
March,"42,681","2,255","10,646","10,734","7,542","9,911","1,593"
April,"43,399","2,396","11,259","10,863","7,511","9,941","1,429"
May,"43,954","2,278","11,614","10,930","7,562","10,171","1,400"
June,"44,955","2,475","12,038","11,106","7,629","10,160","1,546"
July,"44,989","2,420","12,042","11,265","7,550","10,267","1,446"
August,"45,467","2,295","12,061","11,588","7,765","10,386","1,372"
September,"45,671","2,218","12,041","11,583","7,759","10,667","1,403"
October,"46,160","2,294","12,537","11,767","7,455","10,581","1,525"
November,"45,971","2,238","11,916","11,710","7,988","10,391","1,728"
December,"46,239","2,312","11,472","11,987","8,204","10,768","1,496"
